################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1         29   1.9301555317567659E-01   6.8447891953753093E-01   4.3879842411208309E-01   5.9607029585949135E-02
         1         30   4.2159286383257236E-02   3.5095229728298516E-01   2.1660292565511619E-01   3.4741810369526560E-02
         1         31   0.0000000000000000E+00   1.0091451467579816E-01   1.1576848284005091E-02   1.3082639428611929E-02
         1         32   0.0000000000000000E+00   1.0613418331868382E-01   1.3334854703410505E-02   1.4360523252069504E-02
         1         33   6.9541580125865018E-02   2.5378436890271011E-01   1.6915098847475205E-01   2.2961218443668597E-02
         1         34   2.3845509623914990E-02   1.4597230837702665E-01   8.2089348360403602E-02   1.3982296739439751E-02
         1         35   0.0000000000000000E+00   4.8324967386538985E-02   4.8482608346932451E-03   5.3590592452911201E-03
         1         36   0.0000000000000000E+00   3.6863622831612090E-02   5.0568436301654781E-03   5.3197644745039034E-03
         1         37   1.7140084409702445E-02   6.4569304841643235E-02   4.2315296908515578E-02   5.9119768621701645E-03
         1         38   5.3909681798462381E-03   3.7599941053662170E-02   2.0879816845964610E-02   3.8929111462547151E-03
         1         39   0.0000000000000000E+00   1.0925414998555497E-02   1.3403757426269940E-03   1.4350333773521622E-03
         1         40   0.0000000000000000E+00   9.1159006253294112E-03   1.2676854836011103E-03   1.3399073028549254E-03
         1         41   7.1414554204253728E-04   6.7417754631246968E-02   2.2249808027567243E-02   8.0551233800639412E-03
         1         42   5.9506863830469650E-03   1.0006115405120700E-01   4.1570277176091776E-02   1.2626389252547856E-02
         1         43   0.0000000000000000E+00   1.4508676799418561E-02   7.9059391023176119E-04   1.3529864238805908E-03
         1         44   0.0000000000000000E+00   2.0155238703515654E-02   1.2240235161712740E-03   2.3490942337919323E-03
         1         45   3.8774028967327199E-04   3.6174828985848770E-02   1.4092229105710672E-02   5.7486566152815857E-03
         1         46   0.0000000000000000E+00   1.7135314117890117E-02   7.1415919078207429E-04   1.3693193353990336E-03
         1         47   0.0000000000000000E+00   1.7639837038627450E-02   1.2215219141735298E-03   2.3582421942144583E-03
         1         48   0.0000000000000000E+00   1.6137188612710923E-03   1.0834203774207254E-05   5.4619490695918787E-05
         1         49   0.0000000000000000E+00   3.3966991829952392E-03   3.7070847372509206E-05   1.4292445282693191E-04
         1         50   0.0000000000000000E+00   9.7855714523578012E-04   3.1466430204023731E-06   2.5640397094747416E-05
         1         51   2.8628120145804603E-03   1.5515660067656592E-01   5.8739485124188986E-02   1.7861032194550985E-02
         1         52   4.7352411778073804E-02   2.9239441452302523E-01   1.5205886226990953E-01   3.1977086280581893E-02
         1         53   0.0000000000000000E+00   2.5935668243161389E-02   1.7411669957493687E-03   2.6040558566527696E-03
         1         54   0.0000000000000000E+00   2.9876449595018551E-02   3.0172073098521483E-03   4.4055121637979365E-03
         1         55   7.9698069823608394E-04   3.6929046380633594E-02   1.3543462070761472E-02   4.1062826285161403E-03
         1         56   0.0000000000000000E+00   4.2543025783338816E-02   2.3862593673180292E-03   3.9940606457601830E-03
         1         57   0.0000000000000000E+00   1.0136917784225647E-02   8.6975722534814409E-04   1.1216255819805733E-03
         1         58   0.0000000000000000E+00   2.4446079395348493E-03   1.9705434155419622E-05   1.0047223287849208E-04
         1         59   0.0000000000000000E+00   8.3680322429198605E-03   1.0108856696722593E-04   3.6819777950134575E-04
         1         60   0.0000000000000000E+00   9.5539359093564028E-04   4.0102807321384132E-06   3.0409936657039978E-05
         1         61   7.6091963438352020E-05   1.7695873267487481E-02   4.1671854616464358E-03   1.8907991726622418E-03
         1         62   2.1666130873418941E-04   3.4530737821291291E-02   1.1631705732241393E-02   5.3360463518837657E-03
         1         63   0.0000000000000000E+00   6.1000054981429960E-03   7.7729640399227192E-05   1.7884175097788226E-04
         1         64   0.0000000000000000E+00   7.8292215869004700E-03   3.1717771679622283E-04   7.7339109526076261E-04
         1         65   2.1552525866100566E-05   2.2785190631827237E-02   7.4069486988735259E-03   4.3933077826909606E-03
         1         66   0.0000000000000000E+00   1.3012781655583373E-02   7.1365395649456115E-05   2.0475534609754763E-04
         1         67   0.0000000000000000E+00   1.3826196333949494E-02   7.3836838724623214E-04   1.7797600548917765E-03
         1         68   0.0000000000000000E+00   3.5793180402289234E-04   8.7765313735442031E-07   5.2677850291666237E-06
         1         69   0.0000000000000000E+00   9.4206568051587506E-04   4.0830793871197457E-06   2.0769338713008508E-05
         1         70   0.0000000000000000E+00   2.3472643319640704E-04   4.6638629137756518E-07   4.0059528634396119E-06
         1         71   1.8754737284558728E-03   8.0766864027930291E-02   3.2856618498885583E-02   9.2470873772407536E-03
         1         72   3.4248441769477285E-02   1.8994361397727491E-01   1.0598395290434405E-01   2.1451387380729679E-02
         1         73   0.0000000000000000E+00   1.1050384941135999E-02   7.2055310744713319E-04   1.0128510882834335E-03
         1         74   0.0000000000000000E+00   1.5438897746890742E-02   1.6909960985976200E-03   2.2850199198652297E-03
         1         75   4.1908851045646293E-04   1.5110109658130658E-02   5.6111570011834104E-03   1.7192860263049307E-03
         1         76   0.0000000000000000E+00   2.3660200746942372E-02   1.3122841769497057E-03   2.1493520805426032E-03
