################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1         59   0.0000000000000000E+00   6.2693569162163305E-03   9.4579120784567342E-05   3.1650510936932633E-04
         1         60   0.0000000000000000E+00   1.0743818956619564E-03   4.9866279658596482E-06   3.5191451803038946E-05
         1         61   7.6091963438352020E-05   1.7695873267487481E-02   4.2969903287773540E-03   1.9576495094286795E-03
         1         62   1.9863107458641539E-04   3.5582491117866502E-02   1.1964676169249421E-02   5.5011186401727153E-03
         1         63   0.0000000000000000E+00   4.5399437870899855E-03   8.0910192186418672E-05   1.6906702560852050E-04
         1         64   0.0000000000000000E+00   7.2711062863746768E-03   3.2474693063875220E-04   7.8048430773877285E-04
         1         65   2.1552525866100566E-05   2.1933521896478948E-02   7.6371763394777704E-03   4.5041194144566929E-03
         1         66   0.0000000000000000E+00   1.0896827514017224E-02   7.4403334086986888E-05   1.9025391569631783E-04
         1         67   0.0000000000000000E+00   1.3966865358672064E-02   7.5277019219823925E-04   1.7902685908281844E-03
         1         68   0.0000000000000000E+00   2.3149907284037409E-04   7.6922883915614797E-07   4.2657871825470022E-06
         1         69   0.0000000000000000E+00   6.0662730352092106E-04   4.3925204777394889E-06   2.0948668118539514E-05
         1         70   0.0000000000000000E+00   2.3472643319640704E-04   5.4381405089684338E-07   4.2306510872729675E-06
         1         71   1.8754737284558728E-03   8.0766864027930291E-02   3.3757226548439316E-02   9.5967367049261988E-03
         1         72   3.4248441769477285E-02   1.8980235414345853E-01   1.0785375765123308E-01   2.2161886326123873E-02
         1         73   0.0000000000000000E+00   8.2575459064426326E-03   7.6351017095861262E-04   1.0275730072083237E-03
         1         74   0.0000000000000000E+00   1.4523000720752098E-02   1.7248944462131001E-03   2.3138878941633928E-03
         1         75   3.6327945994126594E-04   1.4107904095007671E-02   5.8134258666796817E-03   1.7944961532222919E-03
         1         76   0.0000000000000000E+00   1.5173839606389843E-02   1.4017224001308345E-03   2.1731734370752358E-03
         1         77   0.0000000000000000E+00   3.0692588464831996E-03   3.2220384925951657E-04   3.8679528339012273E-04
         1         78   0.0000000000000000E+00   5.0402779217698340E-04   5.2743621348461045E-06   2.5717610121003928E-05
         1         79   0.0000000000000000E+00   2.9369948624504961E-03   4.6089872497545511E-05   1.4895219186522433E-04
         1         80   0.0000000000000000E+00   2.2061685714053032E-04   1.2769641079731559E-06   8.6428661090062711E-06
         2          1   1.3310724450198805E-01   4.0376417066472103E-01   3.1020061608175931E-01   1.4651650935899298E-02
         2          2   1.0226914086304066E-08   1.1656927279837755E-03   1.6749161044575506E-04   1.1998574755909522E-04
         2          3   0.0000000000000000E+00   8.4684048226981445E-03   1.2742875599854069E-04   3.2005637337392329E-04
         2          4   0.0000000000000000E+00   1.7071417377599905E-04   1.5036878408747653E-06   4.7447506634587252E-06
         2          5   5.0486097304097821E-01   9.2823950892780582E-01   7.2019463366121794E-01   5.2075249768561836E-02
         2          6   2.0012954790851078E-06   2.0405603138943088E-02   4.9570085337138818E-03   2.8253760909412741E-03
         2          7   0.0000000000000000E+00   6.6507939538262756E-02   2.2432772399922935E-03   4.9139744819813695E-03
         2          8   0.0000000000000000E+00   4.0923874172256684E-03   7.1803014996934308E-05   1.7948003081417455E-04
         2          9   4.8217570060129339E-01   1.2247038125974861E+00   7.9770244643803667E-01   1.3056040825539722E-01
         2         10   1.4599997418669584E-04   1.6912822158657972E-01   5.7839507261185349E-02   2.5014853544111860E-02
         2         11   0.0000000000000000E+00   2.2057479257679341E-01   1.5417900398740020E-02   3.0068985831240166E-02
         2         12   0.0000000000000000E+00   3.6090611926972063E-02   1.3451348235764072E-03   2.7546903038067920E-03
         2         13   1.6053013655728379E-01   1.4165568412956036E+00   7.5520223446417212E-01   1.7757131992940622E-01
         2         14   4.0020992389219025E-03   5.8895059241632841E-01   2.7524909471306258E-01   8.3821039246511450E-02
         2         15   0.0000000000000000E+00   4.3321622680760474E-01   4.2314606165747261E-02   7.4761466002345109E-02
         2         16   0.0000000000000000E+00   1.4979492809590733E-01   1.0035607077981307E-02   1.7227171813132026E-02
         2         17   1.3274923918582832E-01   1.7831642438780420E+00   9.8873406406569364E-01   2.0584886273390851E-01
         2         18   4.1863055918486394E-02   1.0224777072397806E+00   5.7370143516671512E-01   1.1879192038462882E-01
         2         19   0.0000000000000000E+00   5.0560730702105150E-01   4.9635621450857544E-02   7.9309804695362376E-02
         2         20   0.0000000000000000E+00   3.1330781875329422E-01   3.0787203870343668E-02   4.4824590110462061E-02
         2         21   3.3899642566233856E-01   1.8155136072527023E+00   1.1278420631941857E+00   1.7969574133381613E-01
         2         22   1.7244721579313499E-01   1.0665156559291955E+00   6.0789290297246001E-01   1.0561880085853423E-01
         2         23   0.0000000000000000E+00   2.9860596164604508E-01   3.2196341965596176E-02   4.3449059794011112E-02
         2         24   0.0000000000000000E+00   3.4003361262941650E-01   4.1787618041177352E-02   5.1824380819043274E-02
         2         25   3.3843879970077850E-01   1.3424082692561772E+00   8.4251094260205461E-01   1.1501411976972027E-01
         2         26   1.2657163846955233E-01   7.5295306000870077E-01   4.1485016344944864E-01   6.6568390524545509E-02
         2         27   0.0000000000000000E+00   1.8400596195932689E-01   2.0212963653726823E-02   2.4539072066988403E-02
         2         28   0.0000000000000000E+00   2.1408728637571384E-01   2.9595732700689908E-02   3.2022598913393721E-02
         2         29   1.6572415286442582E-01   6.6149047127462579E-01   4.3700555414419062E-01   5.8441316620483685E-02
         2         30   7.5422709092719406E-02   3.5924943918900848E-01   2.1561868736357412E-01   3.7285653579853265E-02
         2         31   0.0000000000000000E+00   1.0173231342746203E-01   1.2645742025563168E-02   1.4542116187417315E-02
         2         32   0.0000000000000000E+00   9.7018380113594468E-02   1.4225138471045172E-02   1.4670432838884806E-02
         2         33   5.7796026186200125E-02   2.5515499782866091E-01   1.6569098730692652E-01   2.3288161135961282E-02
         2         34   2.3514546725407492E-02   1.4122738148073891E-01   8.2232491312847267E-02   1.5880946032165475E-02
         2         35   0.0000000000000000E+00   3.9342022279217757E-02   5.3406507552069072E-03   5.7701350967360541E-03
         2         36   0.0000000000000000E+00   4.0805223747738317E-02   5.2937743673415905E-03   5.5013447504837975E-03
         2         37   1.6473830666220095E-02   6.9979319610858709E-02   4.2118881494359897E-02   6.2177964622831070E-03
         2         38   4.5510615195292039E-03   3.6887946786697060E-02   2.0472150892024404E-02   4.0249214762917368E-03
         2         39   0.0000000000000000E+00   1.2460034491210440E-02   1.3444488680505841E-03   1.4385097934678161E-03
         2         40   0.0000000000000000E+00   1.0895681225152604E-02   1.3392299858509455E-03   1.4158970848430889E-03
         2         41   2.9515411598935674E-02   1.5484382982371769E-01   8.5722600757457371E-02   2.0582215361703099E-02
         2         42   1.3684950967265946E-03   5.5641895067666702E-02   2.1905494084810403E-02   7.0480470849555244E-03
         2         43   0.0000000000000000E+00   3.2743589122065778E-02   3.2674333037227147E-03   5.5185918663689468E-03
         2         44   0.0000000000000000E+00   1.0027115425033480E-02   8.3533355051501580E-04   1.1890018549136378E-03
         2         45   3.6995748460777562E-05   5.0686738240864667E-03   1.4209594486517473E-03   6.3871607041494178E-04
         2         46   0.0000000000000000E+00   5.6567223338848099E-03   4.1684811282406177E-04   7.0320193819007172E-04
         2         47   0.0000000000000000E+00   1.2725801655452773E-03   1.2061250899500226E-04   1.6026073259518516E-04
         2         48   0.0000000000000000E+00   2.0495470161189335E-03   2.6101787787276974E-05   1.1902682935488030E-04
         2         49   0.0000000000000000E+00   1.6136945338973523E-03   3.2423886886641619E-05   9.3713953837838116E-05
         2         50   0.0000000000000000E+00   2.4347445082240995E-04   1.5057760934555903E-06   8.4569272398178761E-06
         2         51   2.2520046829944837E-02   2.2509499493459695E-01   1.1154365534519892E-01   2.7089345791228937E-02
         2         52   7.2787312807761012E-03   1.9784560785887848E-01   9.1723325717053647E-02   2.5878485319545175E-02
         2         53   0.0000000000000000E+00   3.1274030855057845E-02   3.2685130702086351E-03   4.8717539663037492E-03
         2         54   0.0000000000000000E+00   3.5375833936898339E-02   3.4067375410297067E-03   4.7892810515405594E-03
         2         55   1.8004494624558487E-04   1.2444112604475735E-02   4.0267521211351720E-03   1.6096479920888183E-03
         2         56   0.0000000000000000E+00   1.8332439259457104E-02   1.5549172547502706E-03   2.4092274943819476E-03
         2         57   0.0000000000000000E+00   2.9239905079800014E-03   3.2702850627561918E-04   3.9487880927170421E-04
         2         58   0.0000000000000000E+00   2.3310051012804872E-03   3.0390302856044488E-05   1.4435166082889497E-04
         2         59   0.0000000000000000E+00   4.6230007169452891E-03   9.9825263987829657E-05   2.9291819740227939E-04
         2         60   0.0000000000000000E+00   4.5147516610951379E-04   2.8619404025350198E-06   1.7110035647034594E-05
         2         61   4.2537794916935080E-03   4.4138359795789880E-02   2.2549428056114911E-02   6.6790207683445737E-03
         2         62   1.1870628819330684E-04   1.1592691817860722E-02   4.6462606982937468E-03   1.6243692814018134E-03
         2         63   0.0000000000000000E+00   1.1372799622830925E-02   9.7790444403252443E-04   1.7746766578656419E-03
         2         64   0.0000000000000000E+00   3.0234337129712309E-03   1.4130883988554464E-04   2.3492062615197671E-04
         2         65   1.8414950488301704E-07   5.0926203903308006E-04   1.0543337527302730E-04   6.7957293963634861E-05
         2         66   0.0000000000000000E+00   6.2508298064884186E-04   3.3972747168481571E-05   6.8760268515434130E-05
         2         67   0.0000000000000000E+00   1.5190447210490683E-04   7.2859348815739341E-06   1.2489583185250571E-05
